number,family,科名,latin,chinese,abbreviation,frequency,shadeindex,shademean,shademedian,shadevar,highlight,shademeancrown,surratemasd,surratemasdirondele,surratemdele,modes
1,Arecaceae,棕櫚科,Calamus formosanus,黃藤,cafo,34,2.50,5.28,4.75,11.91,8.35,1.62,0.94,0.94,0.97,SH
2,Hydrangeaceae,八仙花科,Hydrangea viburnoides,青棉花,hyvi,25,3.00,6.92,7.00,16.12,10.50,1.80,0.68,0.78,0.77,AAR
3,Vitaceae,葡萄科,Tetrastigma bioritsense,三腳虌草,tebi,42,2.50,8.75,6.75,35.69,17.80,1.86,0.55,0.59,0.74,TT
4,Smilacaceae,菝?科,Smilax lanceifolia,臺灣土茯苓,smla,29,3.40,7.78,6.50,21.37,15.20,1.93,0.59,0.62,0.65,TT
5,Menispermaceae,防己科,Pericampylus formosanus,蓬萊藤,pefo,15,5.20,11.87,11.50,37.59,21.10,2.33,0.53,0.73,0.67,TS
6,Gesneriaceae,苦苣苔科,Aeschynanthus acuminatus,長果藤,aeac,20,2.50,6.68,6.50,11.88,10.25,1.93,0.90,0.92,0.95,AAR
7,Piperaceae,胡椒科,Piper sintenense,薄葉風藤,pisi,14,2.50,6.57,4.75,23.19,11.05,1.79,0.86,0.90,0.92,AAR
8,Rubiaceae,茜草科,Psychotria serpens,拎壁龍,psse,14,2.65,5.50,4.25,11.31,9.60,1.46,0.93,0.91,0.93,AAR
9,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
10,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
11,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
12,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
13,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
14,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
15,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
16,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
17,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
18,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
19,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
20,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
21,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
22,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
23,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
24,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
25,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
26,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
27,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
28,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
29,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
30,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
31,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
