"","X","X0","X1","X2","X3","X4","X5","X6","X7","X9","X10","X11","X12","X13","X14","X21","X28","species","minfvfm","minfvfm5days","minday"
"1","aeac1",0.785,0.641,0.606,0.603,0.631,0.64,0.648,0.655,0.664,0.674,0.69,0.691,0.636,0.609,0.619,0.682,"aeac",0.603,0.603,3
"2","aeac2",0.793,0.697,0.716,0.658,0.664,0.629,0.639,0.657,0.673,0.63,0.65,0.646,0.633,0.634,NA,NA,"aeac",0.629,0.629,5
"3","aeac3",0.736,0.652,0.67,0.605,0.592,0.58,0.585,0.589,0.607,0.581,0.595,0.584,0.538,0.551,0.547,0.621,"aeac",0.538,0.58,13
"4","aeac4",0.763,0.704,0.718,0.711,0.718,0.698,0.675,0.685,0.705,0.699,0.699,0.714,0.706,0.702,0.681,0.713,"aeac",0.675,0.698,6
"5","aeac5",0.789,0.687,0.723,0.705,0.704,0.686,0.658,0.647,0.668,0.681,0.71,0.701,0.702,0.657,NA,NA,"aeac",0.647,0.686,7
"6","aeac6",0.758,0.622,0.67,0.643,0.649,0.626,0.62,0.621,0.651,0.636,0.658,0.646,0.625,0.619,NA,NA,"aeac",0.619,0.622,14
"7","cafo1",0.805,0.72,0.735,0.73,0.731,0.739,0.745,0.761,0.756,0.751,0.752,0.753,0.739,0.735,0.731,0.75,"cafo",0.72,0.72,1
"8","cafo2",0.795,0.708,0.731,0.683,0.721,0.669,0.666,0.704,0.707,0.702,0.72,0.716,0.724,0.728,0.691,0.738,"cafo",0.666,0.669,6
"9","cafo3",0.803,0.756,0.771,0.759,0.781,0.776,0.778,0.786,0.785,0.769,0.76,0.774,0.766,0.78,0.759,0.77,"cafo",0.756,0.756,1
"10","cafo4",0.774,0.694,0.679,0.639,0.683,0.633,0.625,0.658,0.66,0.659,0.645,0.687,0.649,0.685,0.684,0.693,"cafo",0.625,0.633,6
"11","cafo5",0.817,0.808,0.811,0.714,0.703,0.701,0.728,0.745,0.729,0.732,0.724,0.743,0.732,0.723,0.75,0.757,"cafo",0.701,0.701,5
"12","cafo6",0.813,0.751,0.758,0.739,0.754,0.738,0.735,0.748,0.732,0.737,0.747,0.753,0.742,0.736,0.721,0.738,"cafo",0.721,0.738,21
"13","hyvi1",0.792,0.741,0.755,0.688,0.718,0.706,0.694,0.698,0.684,0.691,0.699,0.699,0.718,0.714,0.713,0.756,"hyvi",0.684,0.688,9
"14","hyvi2",0.799,0.669,0.722,0.614,0.632,0.626,0.649,0.642,0.652,0.638,0.672,0.643,0.675,0.671,0.671,0.746,"hyvi",0.614,0.614,3
"15","hyvi3",0.77,0.651,0.656,0.613,0.604,0.567,0.573,0.591,0.633,0.64,0.66,0.682,0.65,0.65,0.664,0.762,"hyvi",0.567,0.567,5
