number,species,site,region,sequence,crown exp,canopy_scope,have record,have plot,resurvey
cafo_1_1,cafo,g17_1,L6,1,3,8.5,1,,1
hyvi_1_1,hyvi,g17_1,L6,1,2.5,7.5,1,,1
tebi_1_1,tebi,g17_1,L6,1,3,12,1,,1
smla_1_1,smla,g17_1,L6,1,3,9.5,1,,m
cafo_1_2,cafo,g17_2,L6,2,2.5,6.5,1,,1
hyvi_1_2,hyvi,g17_2,L6,2,2,5,1,,1
tebi_1_3,tebi,g17_3,L6,3,2,3.5,1,,1
cafo_1_3,cafo,g17_3,L6,3,1.5,2.5,1,,0
cafo_2_1,cafo,g18_1,L6,1,2,5,1,,1
smla_2_3,smla,g18_1,L6,1,3,12,1,,1
tebi_2_1,tebi,g18_1,L6,1,2.5,5,1,,1
cafo_2_2,cafo,g18_2,L6,2,1,2.5,1,,1
smla_2_2,smla,g18_2,L6,2,1,3,1,,0
tebi_2_2,tebi,g18_2,L6,2,1,4.5,1,,1
smlaz_1_1,smla,gzt_1_1,ZT,1,3,16,1,1,0
pefoz_1_1,pefo,gzt_1_1,ZT,1,3,17.5,1,1,0
tebiz_1_1,tebi,gzt_1_1,ZT,1,2.5,15,1,1,1
aeacz_1_1,aeac,gzt_1_1,ZT,1,2,8,1,1,1
tebiz_1_2,tebi,gzt_1_2,ZT,2,1,2.5,1,1,m
smla_1_2,smla,gzt_1_2,ZT,2,1,2,1,1,0
aeacz_1_2,aeac,gzt_1_2,ZT,2,1,3.5,1,1,1
tebiz_1_3,tebi,gzt_1_3,ZT,3,2,6,1,1,m
smlaz_1_4,smla,gzt_1_4,ZT,4,2,4.5,1,1,1
pefoz_1_4,pefo,gzt_1_4,ZT,4,1,4.5,1,1,1
pisiz_2_1,pisi,gzt_2_1,ZT,1,1,2,iron,1,1
aeacz_2_1,aeac,gzt_2_1,ZT,1,1,2,iron,1,1
cafoz_2_1,cafo,gzt_2_1,ZT,1,2.5,8,iron,1,1
hyviz_2_1,hyvi,gzt_2_1,ZT,1,2.5,5.5,iron,1,1
aeacz_2_2,aeac,gzt_2_2,ZT,2,3,6,iron,1,1
pssez_2_2,psse,gzt_2_2,ZT,2,1,3,iron,1,1
smlaz_2_2,smla,gzt_2_2,ZT,2,2,4,iron,1,m
smlaz_2_3,smla,gzt_2_3,ZT,3,2.5,7,iron,1,1
pefoz_2_3,pefo,gzt_2_3,ZT,3,2.5,11.5,iron,1,m
pisiz_2_3,pisi,gzt_2_3,ZT,3,2,7.5,iron,1,1
tebiz_2_3,tebi,gzt_2_3,ZT,3,2.5,11.5,iron,1,m
aeacz_2_3,aeac,gzt_2_3,ZT,3,3,15.5,iron,1,1
pssez_2_3,psse,gzt_2_3,ZT,3,2,4,iron,1,1
cafoz_2_3,cafo,gzt_2_3,ZT,3,2,9.5,iron,1,1
hyviz_2_3,hyvi,gzt_2_3,ZT,3,1.5,3,iron,1,1
tebiz_2_4,tebi,gzt_2_4,ZT,4,1,3,iron,1,m
smlaz_2_4,smla,gzt_2_4,ZT,4,1.5,3.5,iron,1,0
aeacz_2_4,aeac,gzt_2_4,ZT,4,1,2.5,iron,1,1
pisiz_2_4,pisi,gzt_2_4,ZT,4,1,3,iron,1,m
hyviz_2_4,hyvi,gzt_2_4,ZT,4,1,4,iron,1,1
tebiz_3_1,tebi,gzt_3_1,ZT,1,2.5,22.5,iron,1,1
aeacz_3_1,aeac,gzt_3_1,ZT,1,2.5,12.5,iron,1,m
pisiz_3_1,pisi,gzt_3_1,ZT,1,2.5,10,iron,1,1
pssez_3_1,psse,gzt_3_1,ZT,1,3,14,iron,1,1
pefoz_3_1,pefo,gzt_3_1,ZT,1,2.5,12,iron,1,m
hyviz_3_1,hyvi,gzt_3_1,ZT,1,2.5,7,iron,1,m
pefoz_3_2,pefo,gzt_3_2,ZT,2,4,23.5,iron,1,0
tebiz_3_2,tebi,gzt_3_2,ZT,2,2,8,iron,1,m
hyviz_3_2,hyvi,gzt_3_2,ZT,2,4,22,iron,1,0
aeacz_3_2,aeac,gzt_3_2,ZT,2,2.5,10,iron,1,1
tebiz_3_3,tebi,gzt_3_3,ZT,3,1,3.5,iron,,0
aeacz_3_3,aeac,gzt_3_3,ZT,3,1.5,5.5,iron,,1
pefoz_3_3,pefo,gzt_3_3,ZT,3,2,12,iron,,m
