tag,species,Amax,Rd,Trmax,Tr0,FvFm,Fv'/Fm',NPQ,PhiPS2,qP,qN,SLA,LDMC,thickness,spad,£_15N,N%,£_13C,C%,LDMC extract,Chlorophylltotal,Chlorophylla,Chlorophyllb,chlorophylla/b
ae1,aeac,1.375151169,-0.4753906,0.260632666,0.098083096,0.778,0.302,3.396,0.024,0.079,0.918,339.5206861,0.046858639,0.8415,36.95,1.842,2.85857111,-32.654625,37.33700885,0.078947368,6016.071429,4264.5,1751.571429,2.434670908
ae2,aeac,1.853362826,-0.2997488,0.287581895,0.0549222,0.75,0.286,2.983,0.029,0.101,0.913,240.2144566,0.062416189,0.9065,50.9,-0.871,2.75244099,-32.405625,40.65011692,0.145340237,7985.94402,5715.185751,2270.75827,2.516862242
ae3,aeac,3.22005216,-0.7372671,0.491774316,0.07346752,0.757,0.302,3.013,0.037,0.123,0.909,214.2936502,0.061064718,1.046,53.3,2.371,2.366423098,-32.815625,39.61715477,0.131061925,7100.825806,5179.573435,1921.252372,2.695936
ae4,aeac,1.653391,-0.9397448,0.279694488,0.070272613,0.753,0.318,2.691,0.032,0.1,0.894,289.6044317,0.055638457,0.8795,47.15,-0.56,2.605761229,-33.282625,41.04020191,0.099180328,9879.421488,7083.719008,2795.702479,2.533788578
ca1,cafo,3.916049087,-0.5054415,0.74022437,0.087308394,0.797,0.369,2.264,0.062,0.169,0.86,257.7778968,0.406709559,0.089,55,-1.651,2.641353743,-35.225625,45.76765375,0.573770492,8891.55,6534.192857,2357.357143,2.771829834
ca2,cafo,1.595902385,-0.7028535,0.297364,0.20239331,0.804,0.393,2.369,0.048,0.122,0.858,238.6681191,0.407586207,0.094,58.95,-1.42,2.544462693,-30.819625,44.48542978,0.530769231,9159.072464,6737.971014,2421.101449,2.783018868
ca3,cafo,1.993477265,-0.8495721,0.588222472,0.247911707,0.804,0.396,2.435,0.054,0.136,0.86,218.7013203,0.389681668,0.105,52.6,-1.138,2.782665568,-29.056625,49.76974816,0.507910075,9314.811639,6911.964098,2402.847541,2.876572059
ca4,cafo,4.201173974,-0.5102124,1.088765934,0.692911351,0.795,0.373,2.281,0.072,0.192,0.859,242.6170406,0.434875445,0.085,54.85,-1.787,2.667065958,-32.223625,45.30018426,0.640599002,9480.253506,7097.811948,2382.441558,2.979217653
ca5,cafo,3.849378587,-0.2154494,1.182956884,0.757448835,0.801,0.401,1.855,0.057,0.142,0.822,249.7829797,0.494610778,0.077,55.25,-1.685,2.378330775,-35.602625,40.65756202,0.535947712,9763.439024,7502.219512,2261.219512,3.31777586
ca6,cafo,6.218409,-0.1933564,2.096898359,1.08890507,0.797,0.388,2.338,0.087,0.224,0.858,227.8307434,0.421912114,0.0945,54.1,-1.467,2.59232263,-32.798625,57.94514252,0.596573209,12851.93734,9935.592689,2916.344648,3.406865062
