"","Wavelength(nm)","PPFD(umol.m-2.s-1)"
"1",360,0.035387
"2",361,0.036463
"3",362,0.037545
"4",363,0.039532
"5",364,0.04153
"6",365,0.042746
"7",366,0.043967
"8",367,0.045284
"9",368,0.046607
"10",369,0.045953
"11",370,0.047011
"12",371,0.048074
"13",372,0.048874
"14",373,0.049678
"15",374,0.050529
"16",375,0.051383
"17",376,0.050934
"18",377,0.050481
"19",378,0.050177
"20",379,0.049871
"21",380,0.050089
"22",381,0.050307
"23",382,0.050569
"24",383,0.050832
"25",384,0.049516
"26",385,0.050701
"27",386,0.051892
"28",387,0.052791
"29",388,0.051395
"30",389,0.053211
"31",390,0.055036
"32",391,0.055192
"33",392,0.055349
"34",393,0.058022
"35",394,0.060708
"36",395,0.063454
"37",396,0.066213
"38",397,0.071649
"39",398,0.075641
"40",399,0.079653
"41",400,0.083057
"42",401,0.086477
"43",402,0.090188
"44",403,0.093917
"45",404,0.095953
"46",405,0.097999
"47",406,0.098753
"48",407,0.099509
"49",408,0.101026
"50",409,0.10255
"51",410,0.103393
"52",411,0.104238
"53",412,0.105726
"54",413,0.106087
"55",414,0.106449
"56",415,0.108813
"57",416,0.111188
"58",417,0.11236
"59",418,0.110815
"60",419,0.111571
"61",420,0.11233
"62",421,0.113027
"63",422,0.113726
"64",423,0.112879
"65",424,0.112026
"66",425,0.107789
"67",426,0.108281
"68",427,0.108774
"69",428,0.109229
"70",429,0.109686
"71",430,0.111065
"72",431,0.112449
"73",432,0.113618
"74",433,0.114792
"75",434,0.116016
"76",435,0.117244
"77",436,0.120715
"78",437,0.124201
"79",438,0.125839
"80",439,0.127886
"81",440,0.129942
"82",441,0.131368
"83",442,0.132799
"84",443,0.135599
"85",444,0.13841
"86",445,0.140602
"87",446,0.142802
"88",447,0.144657
"89",448,0.146519
"90",449,0.147441
"91",450,0.148366
"92",451,0.150495
"93",452,0.151366
"94",453,0.152239
"95",454,0.153437
"96",455,0.154638
"97",456,0.155165
"98",457,0.15513
"99",458,0.15655
"100",459,0.157974
"101",460,0.158395
"102",461,0.158586
"103",462,0.158309
"104",463,0.158226
"105",464,0.158143
"106",465,0.158794
"107",466,0.159447
"108",467,0.159424
"109",468,0.159399
"110",469,0.159937
"111",470,0.160475
"112",471,0.16179
"113",472,0.163108
"114",473,0.162686
"115",474,0.163617
"116",475,0.16455
"117",476,0.165907
"118",477,0.167268
"119",478,0.167862
"120",479,0.168457
"121",480,0.167461
"122",481,0.16646
"123",482,0.166249
"124",483,0.166037
"125",484,0.163477
"126",485,0.163444
"127",486,0.16341
"128",487,0.163207
"129",488,0.163003
"130",489,0.163607
"131",490,0.164212
"132",491,0.165282
"133",492,0.166355
"134",493,0.167332
"135",494,0.167154
"136",495,0.166974
"137",496,0.167338
"138",497,0.167701
"139",498,0.167625
"140",499,0.167548
"141",500,0.167966
"142",501,0.168384
"143",502,0.168589
"144",503,0.168793
"145",504,0.16854
"146",505,0.169053
"147",506,0.169567
