tag,species,Amax,Rd,Trmax,Tr0,Fv/Fm,fv'/fm',NPQ,PhiPS2,qP,qN,SLA,LDMC,thickness,spad,£_15N,N%,£_13C,C%,ldmcextract,Chlorophylltotal,Chlorophylla,Chlorophyllb,chlorophylla/b,old
ae1,aeac,1.380067551,-0.987867718,0.338801893,0.109419073,0.761,0.237,3.934,0.020 ,0.086 ,0.943 ,227.3092965,0.054856115,0.9775,40,0.66725,2.862950112,-31.21625,34.64277996,0.056421385,7490.413986,5415.938462,2074.475524,2.610750716,old
ae2,aeac,,,,,,,,,,,,,,,,,,,,,,,,old
ae3,aeac,,,,,,,,,,,,,,,,,,,0.104728546,5633.12709,4055.719064,1577.408027,2.571128709,old
ae4,aeac,1.966259312,-0.815973275,0.308774412,0.069411946,0.746,0.202,3.809,0.030 ,0.149 ,0.950 ,222.1257066,0.065272129,0.87,44.05,1.14725,2.871460896,-31.94225,38.49463201,0.06122449,9368.8,6826.4,2542.4,2.685022026,old
ae5,aeac,,,,,,,,,,,,,,,,,,,0.061891117,4846.463889,3532.741667,1313.722222,2.689108555,new
ae6,aeac,,,,,,,,,,,,,,,,,,,,,,,,old
ca1,cafo,6.618111175,-0.609765741,1.352992595,0.452526558,0.793,0.276,3.667,0.079 ,0.287 ,0.930 ,252.1359632,0.395277656,0.098,41.35,-1.35675,2.754099465,-32.39725,44.93806749,0.344234079,10038.024,7740.504,2297.52,3.369069257,old
ca2,cafo,7.357133447,-1.188123172,2.034037234,0.843651836,0.788,0.359,2.125,0.121 ,0.338 ,0.855 ,231.1202381,0.43920765,0.092,46.05,-0.15875,2.719786785,-31.68425,45.08100863,0.451342282,8076.011152,6163.126394,1912.884758,3.221901564,old
ca3,cafo,7.780033027,-0.713401197,1.659412599,0.587035105,0.793,0.331,2.364,0.122 ,0.369 ,0.877 ,222.516591,0.422767857,0.096,47.4,-0.08075,2.963556701,-30.13625,46.40343079,0.436643836,8928.823529,6614.705882,2314.117647,2.858413828,old
ca4,cafo,6.576222353,-0.591890109,1.592485256,0.917263605,0.791,0.331,2.522,0.108 ,0.326 ,0.884 ,214.3448353,0.40625,0.107,49.35,0.08725,2.763563836,-31.03625,44.80522257,0.308457711,10908.23226,7991.070968,2917.16129,2.73933121,old
ca5,cafo,6.956199151,-0.809663076,1.768518729,0.711460202,0.789,0.266,2.803,0.092 ,0.344 ,0.913 ,253.228239,0.429553265,0.085,41.15,0.92625,2.810563629,-32.11525,46.38421479,0.355967078,10580.7815,8128.06474,2452.716763,3.313902715,old
ca6,cafo,6.631469305,-0.784287328,1.586899586,0.635186732,0.763,0.303,2.669,0.103 ,0.341 ,0.898 ,201.9508341,0.495169082,0.094,58.5,-1.45975,2.762544445,-33.59525,45.32484433,0.392592593,14360.90566,10509.20755,3851.698113,2.72846086,old
hy1,hyvi,5.393064529,-1.400192597,1.022852385,0.369871105,0.8,0.319,3.464,0.104 ,0.325 ,0.916 ,154.3086404,0.20717259,0.406,52.2,1.50225,2.572809053,-30.49625,42.50663584,0.170642202,7519.781613,5642.788065,1876.993548,3.006290602,old
hy2,hyvi,5.866499936,-0.510002951,1.324069754,0.351642331,0.712,0.384,2.647,0.086 ,0.225 ,0.873 ,200.7908301,0.184541063,0.3325,56.55,0.01825,2.995384349,-31.77425,42.40034032,0.126623377,12580.89231,7011.046154,5569.846154,1.258750414,old
hy3,hyvi,3.373591469,-0.490353461,0.621163076,0.202222907,0.784,0.355,2.657,0.061 ,0.172 ,0.882 ,223.6122266,0.170186335,0.352,49.05,2.59925,2.562838956,-30.30425,40.8064995,0.150097466,7529.006494,5437.188312,2091.818182,2.599264295,old
hy4,hyvi,4.705234682,-0.828539037,1.291264737,0.59356558,0.779,0.318,3.649,0.069 ,0.217 ,0.920 ,237.4185813,0.197979798,0.277,46.75,0.36325,3.18001059,-31.47725,42.83036351,0.15374677,9441.352941,6421.941176,3019.411765,2.126884863,old
hy5,hyvi,7.187722289,-0.479068657,1.778447868,0.623642248,0.794,0.467,1.664,0.125 ,0.268 ,0.781 ,162.7350436,0.171197649,0.4465,64.55,-0.47875,3.207325697,-31.99725,40.74236374,0.124661247,9560.936957,7026.154348,2534.782609,2.771896226,old
hy6,hyvi,6.401343509,-0.69910752,1.782230392,1.049634237,0.794,0.366,2.948,0.090 ,0.246 ,0.890 ,206.0147388,0.200623701,0.336,60.5,-0.88375,3.075756177,-31.65025,42.70741115,0.154471545,13661.92982,10198.07018,3463.859649,2.944134927,old
pe1,pefo,11.8856342,-1.098960621,3.400323639,1.761498296,0.791,0.515,1.051,0.124 ,0.242 ,0.671 ,270.6075503,0.286953728,0.154,48,1.62725,3.226153431,-31.92825,44.90021748,0.296909492,9428.591822,7251.327881,2177.263941,3.330477186,old
pe2,pefo,13.60896147,-1.645496336,3.535085506,1.411946484,0.789,0.477,1.189,0.155 ,0.325 ,0.714 ,246.4367003,0.258743247,0.185,44.95,1.93825,3.612868266,-31.78925,44.44972396,0.243179122,8867.414634,6542.341463,2325.073171,2.813821752,old
pe3,pefo,9.424802888,-1.318255597,2.725902473,1.793285664,0.773,0.545,0.89,0.103 ,0.189 ,0.620 ,250.327173,0.279021702,0.1885,51.75,2.86925,2.982885215,-31.24625,44.13542047,0.289966924,9387.047909,7060.41673,2326.631179,3.03460935,new
pe4,pefo,7.822090867,-1.182932095,2.022205424,0.709963821,0.785,0.484,1.059,0.083 ,0.172 ,0.686 ,212.1149821,0.279248178,0.189,50,1.98825,3.513897868,-32.93425,43.12769718,0.293838863,8754.012903,6297.23871,2456.774194,2.563214286,old
pe5,pefo,10.29052099,-0.888408821,2.459098633,1.461827051,0.793,0.509,0.871,0.103 ,0.203 ,0.631 ,297.0876365,0.240691489,0.1575,41.05,1.54825,3.427127551,-33.05725,43.27595427,0.259935553,10532.31074,7945.864463,2586.446281,3.072116564,old
pe6,pefo,11.01107299,-1.101003748,2.194756817,0.544492186,0.782,0.399,1.472,0.125 ,0.313 ,0.787 ,285.7694861,0.32935719,0.12,36.95,1.84125,2.821333041,-31.21325,45.51327853,0.27638191,10489.71927,7807.915636,2681.803636,2.91144196,old
pi1,pisi,,,,,,,,,,,,,,,,,,,,,,,,old
pi2,pisi,1.956849317,-0.452107867,0.605318736,0.400877256,0.779,0.257,3.432,0.016 ,0.061 ,0.930 ,493.5462,0.160525201,0.119,36.5,-0.36675,4.527906866,-32.76125,46.88462452,0.166101695,14945.78776,11223.72653,3722.061224,3.015459944,old
pi3,pisi,2.801074043,-0.682596472,1.02777127,0.713368342,0.766,0.261,3.311,0.024 ,0.093 ,0.927 ,437.2693002,0.163959783,0.136,39.2,1.04225,4.745563696,-32.18125,46.02188287,0.140969163,15738.2875,11422.2875,4316,2.646498494,old
pi4,pisi,2.468907945,-0.849215564,0.567533305,0.350588235,0.758,0.196,3.607,0.028 ,0.140 ,0.948 ,432.4402974,0.149951315,0.151,47.05,2.37525,5.410539614,-31.72325,43.60142716,0.151034483,17891.54521,13359.13425,4532.410959,2.947467555,old
pi5,pisi,4.706421459,-0.848257183,1.730043342,1.203312396,0.789,0.312,2.324,0.052 ,0.166 ,0.881 ,545.9713632,0.144880174,0.117,36.55,0.58325,4.604679072,-34.17925,44.0205923,0.125515616,25023.12019,18537.09671,6486.023474,2.858006418,old
pi6,pisi,4.624518698,-0.567344716,1.265154339,0.648173178,0.787,0.274,3.669,0.046 ,0.166 ,0.931 ,459.734098,0.166137566,0.113,48.55,-0.06375,5.029060937,-33.10025,46.7220886,0.139258223,23158.10352,16973.3397,6184.763819,2.744379607,old
ps1,psse,5.256486582,-0.956596512,1.172429278,0.528512708,0.791,0.282,2.988,0.091 ,0.322 ,0.914 ,224.0436177,0.215246637,0.205,56.4,4.91225,2.666042053,-31.69425,46.3397797,0.128888889,18148.8,13135.69655,5013.103448,2.62027239,old
ps2,psse,2.465801442,-0.697530563,0.658721211,0.429467856,0.761,0.309,2.509,0.073 ,0.237 ,0.890 ,198.4951273,0.235294118,0.238,54.15,2.00525,2.381844088,-32.26325,46.0381349,0.168091168,10549.73898,7740.518644,2809.220339,2.75539748,old
ps3,psse,6.494182226,-0.850403551,1.469216054,0.395148128,0.783,0.303,3.074,0.105 ,0.346 ,0.910 ,175.6248205,0.261780105,0.2195,51.85,-0.14575,2.423007086,-31.97125,47.53373345,0.132211538,17464.72727,13032.45455,4432.272727,2.940354835,old
ps4,psse,4.233667501,-0.896932557,0.774818548,0.419063045,0.765,0.36,2.018,0.071 ,0.197 ,0.848 ,158.2767993,0.242236025,0.29,64.85,2.21125,2.595161689,-30.95525,46.76839164,0.142857143,15609.41887,11608.21132,4001.207547,2.901177003,old
ps5,psse,6.501723611,-0.686803524,1.208455248,0.707047606,0.787,0.352,2.38,0.140 ,0.398 ,0.871 ,188.4310749,0.212121212,0.29,67.65,-1.11075,2.680730732,-29.92725,48.14320148,0.187376726,13131.58737,9655.376842,3476.210526,2.77755814,old
