"","Wavelength(nm)","PPFD(umol.m-2.s-1)"
"1",360,1.194014
"2",361,1.235422
"3",362,1.27704
"4",363,1.343474
"5",364,1.410254
"6",365,1.453191
"7",366,1.496341
"8",367,1.540616
"9",368,1.58511
"10",369,1.568838
"11",370,1.605909
"12",371,1.643157
"13",372,1.668145
"14",373,1.693243
"15",374,1.726189
"16",375,1.759288
"17",376,1.741962
"18",377,1.724519
"19",378,1.719111
"20",379,1.71365
"21",380,1.716553
"22",381,1.719447
"23",382,1.728518
"24",383,1.737613
"25",384,1.698071
"26",385,1.737281
"27",386,1.776673
"28",387,1.801435
"29",388,1.765666
"30",389,1.826207
"31",390,1.887036
"32",391,1.896533
"33",392,1.906055
"34",393,1.997468
"35",394,2.089322
"36",395,2.186684
"37",396,2.284512
"38",397,2.482622
"39",398,2.619615
"40",399,2.757266
"41",400,2.881546
"42",401,3.006413
"43",402,3.130339
"44",403,3.254843
"45",404,3.329501
"46",405,3.404488
"47",406,3.427696
"48",407,3.450977
"49",408,3.498028
"50",409,3.545268
"51",410,3.577401
"52",411,3.609649
"53",412,3.664519
"54",413,3.681698
"55",414,3.698916
"56",415,3.77843
"57",416,3.858284
"58",417,3.889747
"59",418,3.854593
"60",419,3.881973
"61",420,3.909441
"62",421,3.939992
"63",422,3.970645
"64",423,3.948161
"65",424,3.925526
"66",425,3.782349
"67",426,3.802877
"68",427,3.823459
"69",428,3.838223
"70",429,3.853015
"71",430,3.904609
"72",431,3.956401
"73",432,3.993823
"74",433,4.031375
"75",434,4.073708
"76",435,4.116191
"77",436,4.235068
"78",437,4.354447
"79",438,4.412811
"80",439,4.484747
"81",440,4.556966
"82",441,4.605365
"83",442,4.653937
"84",443,4.756315
"85",444,4.859108
"86",445,4.932685
"87",446,5.006544
"88",447,5.076338
"89",448,5.146394
"90",449,5.178238
"91",450,5.210171
"92",451,5.299716
"93",452,5.337937
"94",453,5.376276
"95",454,5.422807
"96",455,5.469491
"97",456,5.485894
"98",457,5.502317
"99",458,5.555801
"100",459,5.609465
"101",460,5.623687
"102",461,5.637918
"103",462,5.620667
"104",463,5.62214
"105",464,5.623569
"106",465,5.650074
"107",466,5.676642
"108",467,5.66787
"109",468,5.659008
"110",469,5.679219
"111",470,5.699464
"112",471,5.738041
"113",472,5.776731
"114",473,5.761937
"115",474,5.78685
"116",475,5.811817
"117",476,5.860379
"118",477,5.909094
"119",478,5.931617
"120",479,5.954184
"121",480,5.923108
"122",481,5.891851
"123",482,5.886635
"124",483,5.881347
"125",484,5.789311
"126",485,5.792546
"127",486,5.795743
"128",487,5.788777
"129",488,5.781733
"130",489,5.808732
"131",490,5.835793
"132",491,5.882032
"133",492,5.928411
"134",493,5.969491
"135",494,6.000885
"136",495,5.974385
"137",496,5.9887
"138",497,6.003025
"139",498,6.006608
"140",499,6.010156
"141",500,6.025805
"142",501,6.041469
"143",502,6.047843
"144",503,6.054194
"145",504,6.059607
"146",505,6.073814
"147",506,6.08803
"148",507,6.120844
"149",508,6.15374
"150",509,6.145765
"151",510,6.137711
"152",511,6.119114
"153",512,6.100396
"154",513,5.996734
"155",514,5.996233
"156",515,5.995686
"157",516,5.993578
"158",517,5.991418
"159",518,6.01403
"160",519,6.036683
"161",520,6.065108
"162",521,6.093596
"163",522,6.119673
"164",523,6.168839
"165",524,6.218149
"166",525,6.267325
"167",526,6.316643
"168",527,6.354687
"169",528,6.39283
"170",529,6.413664
"171",530,6.43453
"172",531,6.460187
"173",532,6.483384
"174",533,6.506621
"175",534,6.522213
"176",535,6.537817
"177",536,6.536852
"178",537,6.535838
"179",538,6.530545
"180",539,6.540602
"181",540,6.550651
"182",541,6.571316
"183",542,6.592013
"184",543,6.598179
"185",544,6.604323
"186",545,6.636658
"187",546,6.669067
"188",547,6.656403
"189",548,6.681652
"190",549,6.706949
"191",550,6.705405
