"","tag","species","Amax","Rd","Trmax","Tr0","Fv/Fm","fv'/fm'","NPQ","PhiPS2","qP","qN","SLA","LDMC","thickness","spad","£_15N","N%","£_13C","C%","ldmcextract","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b","old"
"1","ae1","aeac",1.38006755078488,-0.987867717814259,0.338801893460076,0.109419072703701,0.761,0.237,3.934,0.02,0.086,0.943,227.309296530055,0.0548561151079137,0.9775,40,0.66725,2.86295011223588,-31.21625,34.6427799608044,0.0564213848885381,7490.41398601399,5415.93846153847,2074.47552447553,2.61075071633238,"old"
"2","ae2","aeac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"old"
"3","ae3","aeac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104728546409806,5633.12709030108,4055.7190635452,1577.40802675587,2.57112870909264,"old"
"4","ae4","aeac",1.9662593121758,-0.815973275091653,0.308774411636184,0.0694119457993566,0.746,0.202,3.809,0.03,0.149,0.95,222.125706557863,0.0652721286073988,0.87,44.05,1.14725,2.87146089608062,-31.94225,38.4946320051465,0.0612244897959167,9368.80000000026,6826.40000000019,2542.40000000007,2.68502202643172,"old"
"5","ae5","aeac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0618911174785109,4846.46388888882,3532.74166666662,1313.72222222221,2.6891085549964,"new"
"6","ae6","aeac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"old"
"7","ca1","cafo",6.61811117545919,-0.609765740858144,1.35299259478338,0.452526558389816,0.793,0.276,3.667,0.079,0.287,0.93,252.135963163717,0.395277656318321,0.098,41.35,-1.35675,2.75409946527771,-32.39725,44.9380674920504,0.344234079173831,10038.0240000002,7740.50400000016,2297.52000000005,3.36906925728612,"old"
"8","ca2","cafo",7.35713344729882,-1.18812317197598,2.03403723367245,0.843651836329051,0.788,0.359,2.125,0.121,0.338,0.855,231.120238102644,0.439207650273224,0.092,46.05,-0.15875,2.71978678540945,-31.68425,45.0810086269722,0.451342281879186,8076.01115241651,6163.12639405216,1912.88475836435,3.22190156364781,"old"
"9","ca3","cafo",7.78003302651808,-0.713401197056421,1.6594125985002,0.587035104525095,0.793,0.331,2.364,0.122,0.369,0.877,222.516591024287,0.422767857142857,0.096,47.4,-0.0807500000000001,2.96355670129832,-30.13625,46.4034307908189,0.436643835616425,8928.82352941205,6614.70588235315,2314.1176470589,2.85841382816472,"old"
"10","ca4","cafo",6.57622235258919,-0.591890108778799,1.59248525565665,0.917263605211426,0.791,0.331,2.522,0.108,0.326,0.884,214.344835345667,0.40625,0.107,49.35,0.08725,2.76356383609301,-31.03625,44.8052225663381,0.308457711442774,10908.2322580649,7991.07096774224,2917.16129032269,2.73933121019108,"old"
"11","ca5","cafo",6.95619915066921,-0.80966307604281,1.76851872858975,0.711460202305407,0.789,0.266,2.803,0.092,0.344,0.913,253.228239,0.429553264604811,0.085,41.15,0.92625,2.81056362879611,-32.11525,46.3842147887346,0.355967078189293,10580.7815028904,8128.06473988456,2452.71676300583,3.31390271493213,"old"
"12","ca6","cafo",6.6314693052171,-0.784287328220312,1.58689958629021,0.63518673186422,0.763,0.303,2.669,0.103,0.341,0.898,201.950834146341,0.495169082125604,0.094,58.5,-1.45975,2.76254444483397,-33.59525,45.3248443301367,0.392592592592599,14360.9056603771,10509.2075471696,3851.69811320749,2.72846086019398,"old"
"13","hy1","hyvi",5.39306452945658,-1.40019259716445,1.02285238494654,0.369871104627129,0.8,0.319,3.464,0.104,0.325,0.916,154.308640370943,0.207172590457893,0.406,52.2,1.50225,2.57280905317953,-30.49625,42.5066358352737,0.170642201834864,7519.78161290316,5642.78806451608,1876.99354838708,3.0062906019922,"old"
"14","hy2","hyvi",5.86649993636041,-0.510002951394299,1.32406975355095,0.351642331079503,0.712,0.384,2.647,0.086,0.225,0.873,200.790830104712,0.184541062801932,0.3325,56.55,0.0182500000000001,2.99538434893698,-31.77425,42.4003403235048,0.12662337662337,12580.892307693,7011.04615384653,5569.84615384645,1.25875041431886,"old"
"15","hy3","hyvi",3.37359146925852,-0.490353461101884,0.62116307595967,0.202222906988404,0.784,0.355,2.657,0.061,0.172,0.882,223.612226569343,0.170186335403727,0.352,49.05,2.59925,2.56283895569966,-30.30425,40.8064994988931,0.150097465886936,7529.00649350667,5437.18831168844,2091.81818181823,2.59926429502701,"old"
"16","hy4","hyvi",4.70523468179072,-0.828539036848642,1.291264736881,0.593565579845328,0.779,0.318,3.649,0.069,0.217,0.92,237.418581326531,0.197979797979798,0.277,46.75,0.36325,3.18001058979521,-31.47725,42.8303635092198,0.153746770025849,9441.35294117592,6421.94117647022,3019.41176470571,2.12688486265342,"old"
"17","hy5","hyvi",7.18772228873672,-0.479068657271928,1.77844786791402,0.623642247501333,0.794,0.467,1.664,0.125,0.268,0.781,162.735043562232,0.171197648787656,0.4465,64.55,-0.47875,3.20732569684749,-31.99725,40.7423637366408,0.124661246612464,9560.93695652187,7026.15434782618,2534.78260869569,2.7718962264151,"old"
"18","hy6","hyvi",6.4013435092005,-0.699107519967089,1.78223039180088,1.0496342373485,0.794,0.366,2.948,0.09,0.246,0.89,206.014738756477,0.200623700623701,0.336,60.5,-0.88375,3.07575617681479,-31.65025,42.7074111493541,0.154471544715448,13661.9298245613,10198.0701754385,3463.85964912278,2.94413492706645,"old"
"19","pe1","pefo",11.8856341956929,-1.09896062084203,3.40032363898567,1.76149829624275,0.791,0.515,1.051,0.124,0.242,0.671,270.607550279955,0.286953727506427,0.154,48,1.62725,3.22615343119613,-31.92825,44.900217479177,0.296909492273725,9428.59182156152,7251.32788104103,2177.26394052049,3.3304771856496,"old"
"20","pe2","pefo",13.6089614703714,-1.64549633563145,3.53508550550167,1.41194648446818,0.789,0.477,1.189,0.155,0.325,0.714,246.43670032967,0.258743247085584,0.185,44.95,1.93825,3.61286826579662,-31.78925,44.4497239554431,0.243179122182683,8867.41463414626,6542.34146341458,2325.07317073169,2.81382175226586,"old"
"21","pe3","pefo",9.424802888076,-1.3182555968325,2.72590247297686,1.79328566394373,0.773,0.545,0.89,0.103,0.189,0.62,250.327172962963,0.279021701687909,0.1885,51.75,2.86925,2.98288521548565,-31.24625,44.1354204676089,0.289966923925027,9387.04790874525,7060.41673003802,2326.63117870723,3.03460935048635,"new"
"22","pe4","pefo",7.82209086663563,-1.18293209450699,2.02220542403428,0.709963821231959,0.785,0.484,1.059,0.083,0.172,0.686,212.114982142857,0.279248177982355,0.189,50,1.98825,3.51389786815521,-32.93425,43.1276971812626,0.293838862559244,8754.01290322572,6297.23870967736,2456.77419354836,2.56321428571429,"old"
"23","pe5","pefo",10.2905209898277,-0.888408820828478,2.45909863277063,1.4618270512219,0.793,0.509,0.871,0.103,0.203,0.631,297.087636464088,0.240691489361702,0.1575,41.05,1.54825,3.4271275510842,-33.05725,43.2759542654017,0.259935553168641,10532.3107438015,7945.86446280977,2586.44628099169,3.07211656441718,"old"
