number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
cafo_1_1,cafo,g17_1,L6,1,3,8.5,SH,NA,1
hyvi_1_1,hyvi,g17_1,L6,1,2.5,7.5,AAR,NA,1
tebi_1_1,tebi,g17_1,L6,1,3,12,TT,NA,1
smbr_1_1,smbr,g17_1,L6,1,2.5,11,TT,NA,1
smla_1_1,smla,g17_1,L6,1,3,9.5,TT,NA,1
cafo_1_2,cafo,g17_2,L6,2,2.5,6.5,SH,NA,1
hyvi_1_2,hyvi,g17_2,L6,2,2,5,AAR,NA,1
stob_1_2,stob,g17_2,L6,2,2,5,TS,NA,1
tebi_1_3,tebi,g17_3,L6,3,2,3.5,TT,NA,1
cafo_1_3,cafo,g17_3,L6,3,1.5,2.5,SH,NA,1
cafo_2_1,cafo,g18_1,L6,1,2,5,SH,NA,1
smla_2_3,smla,g18_1,L6,1,3,12,TT,NA,1
tebi_2_1,tebi,g18_1,L6,1,2.5,5,TT,NA,1
smch_2_1,smch,g18_1,L6,1,2,5,TT,NA,1
cafo_2_2,cafo,g18_2,L6,2,1,2.5,SH,NA,1
smla_2_2,smla,g18_2,L6,2,1,3,TT,NA,1
tebi_2_2,tebi,g18_2,L6,2,1,4.5,TT,NA,1
smlaz_1_1,smla,gzt_1_1,ZT,1,3,16,TT,NA,1
pefoz_1_1,pefo,gzt_1_1,ZT,1,3,17.5,TS,NA,1
tebiz_1_1,tebi,gzt_1_1,ZT,1,2.5,15,TT,NA,1
aeacz_1_1,aeac,gzt_1_1,ZT,1,2,8,AAR,NA,1
mutaz_1_1,muta,gzt_1_1,ZT,1,2.5,3.5,TS,NA,1
trgrz_1_2,trgr,gzt_1_2,ZT,2,1,2.5,AAR,NA,1
tebiz_1_2,tebi,gzt_1_2,ZT,2,1,2.5,TT,NA,1
smla_1_2,smla,gzt_1_2,ZT,2,1,2,TT,NA,1
aeacz_1_2,aeac,gzt_1_2,ZT,2,1,3.5,AAR,NA,1
mutaz_1_2,muta,gzt_1_2,ZT,2,1.5,2,TS,NA,1
dimaz_1_3,dima,gzt_1_3,ZT,3,2.5,7.5,TS,NA,1
rucoz_1_3,ruco,gzt_1_3,ZT,3,3,11,SH,NA,1
tebiz_1_3,tebi,gzt_1_3,ZT,3,2,6,TT,NA,1
saswz1_3,sasw,gzt_1_3,ZT,3,2.5,5.5,TS,NA,1
smlaz_1_4,smla,gzt_1_4,ZT,4,2,4.5,TT,NA,1
trgrz_1_4,trgr,gzt_1_4,ZT,4,1.5,5,AAR,NA,1
pefoz_1_4,pefo,gzt_1_4,ZT,4,1,4.5,TS,NA,1
pisiz_2_1,pisi,gzt_2_1,ZT,1,1,2,AAR,NA,1
aeacz_2_1,aeac,gzt_2_1,ZT,1,1,2,AAR,NA,1
cafoz_2_1,cafo,gzt_2_1,ZT,1,2.5,8,SH,NA,1
hyviz_2_1,hyvi,gzt_2_1,ZT,1,2.5,5.5,AAR,NA,1
aeacz_2_2,aeac,gzt_2_2,ZT,2,3,6,AAR,NA,1
pssez_2_2,psse,gzt_2_2,ZT,2,1,3,AAR,NA,1
smlaz_2_2,smla,gzt_2_2,ZT,2,2,4,TT,NA,1
smlaz_2_3,smla,gzt_2_3,ZT,3,2.5,7,TT,NA,1
pefoz_2_3,pefo,gzt_2_3,ZT,3,2.5,11.5,TS,NA,1
pisiz_2_3,pisi,gzt_2_3,ZT,3,2,7.5,AAR,NA,1
tebiz_2_3,tebi,gzt_2_3,ZT,3,2.5,11.5,TT,NA,1
