Wavelength(nm),PPFD(umol m-2 s-1)
360,0.035387
361,0.036463
362,0.037545
363,0.039532
364,0.04153
365,0.042746
366,0.043967
367,0.045284
368,0.046607
369,0.045953
370,0.047011
371,0.048074
372,0.048874
373,0.049678
374,0.050529
375,0.051383
376,0.050934
377,0.050481
378,0.050177
379,0.049871
380,0.050089
381,0.050307
382,0.050569
383,0.050832
384,0.049516
385,0.050701
386,0.051892
387,0.052791
388,0.051395
389,0.053211
390,0.055036
391,0.055192
392,0.055349
393,0.058022
394,0.060708
395,0.063454
396,0.066213
397,0.071649
398,0.075641
399,0.079653
400,0.083057
401,0.086477
402,0.090188
403,0.093917
404,0.095953
405,0.097999
406,0.098753
407,0.099509
408,0.101026
409,0.10255
410,0.103393
411,0.104238
412,0.105726
413,0.106087
414,0.106449
415,0.108813
416,0.111188
417,0.11236
418,0.110815
419,0.111571
420,0.11233
421,0.113027
422,0.113726
423,0.112879
424,0.112026
425,0.107789
426,0.108281
427,0.108774
428,0.109229
429,0.109686
430,0.111065
431,0.112449
432,0.113618
433,0.114792
434,0.116016
435,0.117244
436,0.120715
437,0.124201
438,0.125839
439,0.127886
440,0.129942
441,0.131368
442,0.132799
443,0.135599
444,0.13841
445,0.140602
446,0.142802
447,0.144657
448,0.146519
449,0.147441
450,0.148366
451,0.150495
452,0.151366
453,0.152239
454,0.153437
455,0.154638
456,0.155165
457,0.15513
458,0.15655
459,0.157974
460,0.158395
461,0.158586
462,0.158309
463,0.158226
464,0.158143
465,0.158794
466,0.159447
467,0.159424
468,0.159399
469,0.159937
470,0.160475
471,0.16179
472,0.163108
473,0.162686
474,0.163617
475,0.16455
476,0.165907
477,0.167268
478,0.167862
479,0.168457
480,0.167461
481,0.16646
482,0.166249
483,0.166037
484,0.163477
485,0.163444
486,0.16341
487,0.163207
488,0.163003
489,0.163607
490,0.164212
491,0.165282
492,0.166355
493,0.167332
494,0.167154
495,0.166974
496,0.167338
497,0.167701
498,0.167625
499,0.167548
500,0.167966
501,0.168384
502,0.168589
503,0.168793
504,0.16854
505,0.169053
506,0.169567
507,0.170474
508,0.171383
509,0.17127
510,0.171155
511,0.170579
512,0.17
513,0.167401
514,0.167568
515,0.167734
516,0.167581
517,0.167427
518,0.168197
519,0.16897
520,0.169758
521,0.170549
522,0.171484
523,0.172893
524,0.174306
525,0.175652
526,0.177003
527,0.177902
528,0.178803
529,0.179224
530,0.179646
531,0.180427
532,0.180818
533,0.18121
534,0.181584
535,0.181958
536,0.181764
537,0.181568
538,0.181393
539,0.181397
540,0.1814
541,0.181779
542,0.182158
543,0.18237
544,0.182582
545,0.183319
546,0.184057
547,0.18373
548,0.184444
549,0.18516
550,0.185233
551,0.185304
552,0.185488
553,0.185671
554,0.184156
555,0.18452
556,0.184884
557,0.185131
558,0.185377
559,0.185206
560,0.185033
561,0.183935
562,0.184204
563,0.184472
564,0.185024
565,0.185577
566,0.185592
567,0.185606
568,0.1858
569,0.185892
570,0.185984
571,0.18661
572,0.187237
573,0.187673
574,0.187783
575,0.188524
576,0.188959
577,0.189394
578,0.189843
579,0.190292
580,0.190456
581,0.190618
582,0.189827
583,0.189567
584,0.189306
585,0.188978
586,0.188649
587,0.187232
588,0.187018
589,0.186803
590,0.186597
591,0.18639
592,0.186661
593,0.186933
594,0.186963
595,0.187793
596,0.188625
597,0.189231
598,0.189837
599,0.190252
600,0.190668
601,0.19094
602,0.191127
603,0.191313
604,0.191668
605,0.192024
606,0.191109
607,0.191265
608,0.19142
609,0.191242
610,0.191063
611,0.190099
612,0.190122
613,0.190145
614,0.19009
615,0.190034
616,0.189885
617,0.189861
618,0.189837
619,0.189794
620,0.18975
621,0.189765
622,0.189779
623,0.189069
624,0.188967
625,0.188864
626,0.18873
627,0.188594
628,0.188283
629,0.188318
630,0.188353
631,0.188888
632,0.189425
633,0.189637
634,0.190225
635,0.190814
636,0.191119
637,0.191425
638,0.191581
639,0.191767
640,0.191954
641,0.191836
642,0.191718
643,0.190822
644,0.190473
645,0.190121
646,0.190001
647,0.189879
648,0.188845
649,0.188221
650,0.187594
651,0.186384
652,0.18632
653,0.186256
654,0.186718
655,0.187181
656,0.187414
657,0.187949
658,0.188485
659,0.189095
660,0.189705
661,0.191208
662,0.192521
663,0.193838
664,0.194246
665,0.194653
666,0.195435
667,0.196006
668,0.195744
669,0.195616
670,0.195848
671,0.196081
672,0.196058
673,0.196035
674,0.195866
675,0.195498
676,0.195129
677,0.194551
678,0.193993
679,0.193433
680,0.192346
681,0.191254
682,0.188299
683,0.186649
684,0.184993
685,0.182746
686,0.181537
687,0.180324
688,0.179659
689,0.178991
690,0.178031
691,0.178192
692,0.178352
693,0.180159
694,0.180665
695,0.181171
696,0.183025
697,0.183822
698,0.183016
699,0.183675
700,0.184336
701,0.185044
702,0.185531
703,0.185349
704,0.186282
705,0.185931
706,0.185579
707,0.186288
