Wavelength(nm),PPFD(umol m-2 s-1)
360,1.194014
361,1.235422
362,1.27704
363,1.343474
364,1.410254
365,1.453191
366,1.496341
367,1.540616
368,1.58511
369,1.568838
370,1.605909
371,1.643157
372,1.668145
373,1.693243
374,1.726189
375,1.759288
376,1.741962
377,1.724519
378,1.719111
379,1.71365
380,1.716553
381,1.719447
382,1.728518
383,1.737613
384,1.698071
385,1.737281
386,1.776673
387,1.801435
388,1.765666
389,1.826207
390,1.887036
391,1.896533
392,1.906055
393,1.997468
394,2.089322
395,2.186684
396,2.284512
397,2.482622
398,2.619615
399,2.757266
400,2.881546
401,3.006413
402,3.130339
403,3.254843
404,3.329501
405,3.404488
406,3.427696
407,3.450977
408,3.498028
409,3.545268
410,3.577401
411,3.609649
412,3.664519
413,3.681698
414,3.698916
415,3.77843
416,3.858284
417,3.889747
418,3.854593
419,3.881973
420,3.909441
421,3.939992
422,3.970645
423,3.948161
424,3.925526
425,3.782349
426,3.802877
427,3.823459
428,3.838223
429,3.853015
430,3.904609
431,3.956401
432,3.993823
433,4.031375
434,4.073708
435,4.116191
436,4.235068
437,4.354447
438,4.412811
439,4.484747
440,4.556966
441,4.605365
442,4.653937
443,4.756315
444,4.859108
445,4.932685
446,5.006544
447,5.076338
448,5.146394
449,5.178238
450,5.210171
451,5.299716
452,5.337937
453,5.376276
454,5.422807
455,5.469491
456,5.485894
457,5.502317
458,5.555801
459,5.609465
460,5.623687
461,5.637918
462,5.620667
463,5.62214
464,5.623569
465,5.650074
466,5.676642
467,5.66787
468,5.659008
469,5.679219
470,5.699464
471,5.738041
472,5.776731
473,5.761937
474,5.78685
475,5.811817
476,5.860379
477,5.909094
478,5.931617
479,5.954184
480,5.923108
481,5.891851
482,5.886635
483,5.881347
484,5.789311
485,5.792546
486,5.795743
487,5.788777
488,5.781733
489,5.808732
490,5.835793
491,5.882032
492,5.928411
493,5.969491
494,6.000885
495,5.974385
496,5.9887
497,6.003025
498,6.006608
499,6.010156
500,6.025805
501,6.041469
502,6.047843
503,6.054194
504,6.059607
505,6.073814
506,6.08803
507,6.120844
508,6.15374
509,6.145765
510,6.137711
511,6.119114
512,6.100396
513,5.996734
514,5.996233
515,5.995686
516,5.993578
517,5.991418
518,6.01403
519,6.036683
520,6.065108
521,6.093596
522,6.119673
523,6.168839
524,6.218149
525,6.267325
526,6.316643
527,6.354687
528,6.39283
529,6.413664
530,6.43453
531,6.460187
532,6.483384
533,6.506621
534,6.522213
535,6.537817
536,6.536852
537,6.535838
538,6.530545
539,6.540602
540,6.550651
541,6.571316
542,6.592013
543,6.598179
544,6.604323
545,6.636658
546,6.669067
547,6.656403
548,6.681652
549,6.706949
550,6.705405
551,6.703812
552,6.714622
553,6.725426
554,6.676161
555,6.681914
556,6.687645
557,6.69694
558,6.706225
559,6.694118
560,6.681926
561,6.634511
562,6.642931
563,6.651338
564,6.667353
565,6.683382
566,6.690236
567,6.697072
568,6.690795
569,6.695695
570,6.700571
571,6.719779
572,6.739013
573,6.751328
574,6.76204
575,6.78355
576,6.80292
577,6.822315
578,6.844125
579,6.865969
580,6.88169
581,6.885816
582,6.872056
583,6.865201
584,6.858283
585,6.854518
586,6.8507
587,6.792887
588,6.792623
589,6.792319
590,6.789985
591,6.787603
592,6.799629
593,6.811657
594,6.829268
595,6.857836
596,6.886462
597,6.91212
598,6.937825
599,6.955047
600,6.972287
601,6.984418
602,6.995683
603,7.006946
604,7.01389
605,7.020818
606,7.005321
607,7.007914
608,7.010477
609,7.001476
610,6.992407
611,6.955849
612,6.952767
613,6.949638
614,6.953724
615,6.957787
616,6.930431
617,6.933797
618,6.937137
619,6.928598
620,6.919995
621,6.924412
622,6.928806
623,6.899317
624,6.896031
625,6.892698
626,6.889225
627,6.885707
628,6.87069
629,6.874663
630,6.878615
631,6.895069
632,6.911542
633,6.922705
634,6.939468
635,6.956251
636,6.974881
637,6.993534
638,7.002885
639,7.007314
640,7.011722
641,7.011204
642,7.010649
643,6.974896
644,6.968348
645,6.961746
646,6.956677
647,6.95156
648,6.916829
649,6.901751
650,6.886592
651,6.839193
652,6.842516
653,6.845818
654,6.857461
655,6.869108
656,6.900729
657,6.916863
658,6.933015
659,6.961561
660,6.990161
661,7.05849
662,7.096589
663,7.13477
664,7.160429
665,7.186134
666,7.203477
667,7.20611
668,7.208716
669,7.208095
670,7.211039
671,7.213957
672,7.217059
673,7.220137
674,7.209499
675,7.197739
676,7.18591
677,7.164813
678,7.142401
679,7.119894
680,7.075497
681,7.030939
682,6.906068
683,6.851018
684,6.795779
685,6.697575
686,6.658935
687,6.620154
688,6.588051
689,6.555827
690,6.532029
691,6.537668
692,6.543296
693,6.598616
694,6.62291
695,6.647246
696,6.700587
697,6.710562
698,6.719493
699,6.732601
700,6.745719
701,6.778471
702,6.79074
703,6.795208
704,6.821989
705,6.822363
706,6.822711
707,6.836048
708,6.819462
709,6.802802
710,6.764137
711,6.725338
712,6.61198
713,6.52844
714,6.44464
715,6.299312
716,6.223137
717,6.146724
718,6.026312
719,5.969819
720,5.913144
721,5.847767
722,5.824798
723,5.801742
724,5.832379
725,5.860418
726,5.888513
727,5.915835
728,5.943211
729,6.055113
730,6.089056
731,6.123067
732,6.247858
733,6.28803
734,6.328288
735,6.440717
736,6.483808
737,6.526991
738,6.619088
739,6.64113
740,6.663208
741,6.715579
742,6.729806
743,6.744048
744,6.762855
745,6.765038
746,6.7672
747,6.784132
748,6.754887
749,6.72554
750,6.691045
751,6.619126
752,6.54699
753,6.372266
754,6.217966
755,6.063234
756,5.768225
757,5.596008
758,5.423318
759,5.18376
760,0
